stock_code,description,revenue,units_sold,orders,sales_rows
82482,WOODEN PICTURE FRAME WHITE FINISH,42396.03,17141,2047,2068
20725,LUNCH BAG RED RETROSPOT,41938.08,22667,1885,1908
20713,JUMBO BAG OWLS,41332.89,21170,1340,1351
22328,ROUND SNACK BOXES SET OF 4 FRUITS,40160.16,14518,1177,1186
22960,JAM MAKING SET WITH JARS,39639.31,9289,1211,1212
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,2
48194,DOORMAT HEARTS,39244.03,6135,1052,1054
85066,CREAM SWEETHEART MINI CHEST,39173.65,3128,943,952
20726,LUNCH BAG WOODLAND,38883.729999999996,22301,1958,1983
22629,SPACEBOY LUNCH BOX,38691.7,21193,1404,1416
22699,ROSES REGENCY TEACUP AND SAUCER,38494.44,13104,1446,1459
21166,COOK WITH WINE METAL SIGN,38428.21,20063,1455,1465
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,732
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385,1392
20712,JUMBO BAG WOODLAND ANIMALS,37988.94,17936,1433,1446
22727,ALARM CLOCK BAKELIKE RED,37857.61,9565,1408,1428
20685,DOORMAT RED RETROSPOT,36593.81,5223,937,938
22379,RECYCLING BAG RETROSPOT,35362.76,16053,1595,1608
21755,LOVE BUILDING BLOCK WORD,35356.39,5726,1720,1741
21523,DOORMAT FANCY FONT HOME SWEET HOME,34577.13,5205,738,738
21479,WHITE SKULL HOT WATER BOTTLE,34560.68,6857,1006,1026
48185,DOORMAT FAIRY CAKE,34518.68,5128,613,615
22666,RECIPE BOX PANTRY YELLOW DESIGN,34421.200000000004,10928,1704,1718
22197,POPCORN HOLDER,34288.67,36749,803,825
AMAZONFEE,AMAZON FEE,34009.13,4,4,4
22630,DOLLY GIRL LUNCH BOX,33923.45,18334,1364,1380
48187,DOORMAT NEW ENGLAND,33825.24,5372,838,840
22726,ALARM CLOCK BAKELIKE GREEN,33666.34,7935,1327,1340
22865,HAND WARMER OWL DESIGN,33394.91,15471,1288,1336
22382,LUNCH BAG SPACEBOY DESIGN,33294.99,19742,2137,2157
22188,BLACK HEART CARD HOLDER,33197.05,12483,584,585
15036,ASSORTED COLOURS SILK FAN,33041.55,44365,1002,1003
22385,JUMBO BAG SPACEBOY DESIGN,32735.2,17220,1264,1275
82486,WOOD S/3 CABINET ANT WHITE FINISH,32546.86,4119,1110,1122
22622,BOX OF VINTAGE ALPHABET BLOCKS,32144.039999999997,3240,599,602
22077,6 RIBBONS RUSTIC CHARM,32142.039999999997,17526,1791,1822
85152,HAND OVER THE CHOCOLATE   SIGN,31976.56,16603,1491,1503
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,31927.13,7307,1079,1103
22139,RETROSPOT TEA SET CERAMIC 11 PC,31769.72,6208,1328,1333
84946,ANTIQUE SILVER TEA GLASS ETCHED,31766.850000000002,23255,1123,1141
22659,LUNCH BOX I LOVE LONDON,31140.62,16837,1122,1145
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873,876
22697,GREEN REGENCY TEACUP AND SAUCER,30959.170000000002,9903,1377,1389
22501,PICNIC BASKET WICKER LARGE,30768.59,2637,780,780
22752,SET 7 BABUSHKA NESTING BOXES,30736.75,3773,741,750
20679,EDWARDIAN PARASOL RED,30649.47,6256,735,736
23199,JUMBO BAG APPLES,30450.690000000002,14908,978,986
22866,HAND WARMER SCOTTY DOG DESIGN,30323.640000000003,13723,1161,1212
22158,3 HEARTS HANGING DECORATION RUSTIC,30197.280000000002,9341,753,767
20725,LUNCH BAG RED SPOTTY,30063.27,18085,1219,1232
82483,WOOD 2 DRAWER CABINET WHITE FINISH,30014.440000000002,5072,1161,1170
21928,JUMBO BAG SCANDINAVIAN PAISLEY,29783.49,16332,899,907
47590B,PINK HAPPY BIRTHDAY BUNTING,29673.430000000004,5781,889,895
22867,HAND WARMER BIRD DESIGN,29484.320000000003,13426,1156,1190
20914,SET/5 RED SPOTTY LID GLASS BOWLS,29468.52,10706,883,897
20971,PINK BLUE FELT CRAFT TRINKET BOX,28966.21,22580,1178,1193
22467,GUMBALL COAT RACK,28919.8,12212,1124,1142
21212,PACK OF 72 RETROSPOT CAKE CASES,28894.37,49744,1763,1804
23355,HOT WATER BOTTLE KEEP CALM,28718.800000000003,5816,782,796
84978,HANGING HEART JAR T-LIGHT HOLDER,28629.82,21819,1435,1450
22835,HOT WATER BOTTLE I AM SO POORLY,28455.98,5524,1058,1065
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28413.63,56625,2024,2056
82583,HOT BATHS METAL SIGN,28324.61,13008,1202,1224
20719,WOODLAND CHARLOTTE BAG,28249.92,24901,1596,1605
22492,MINI PAINT SET VINTAGE,28237.99,44333,729,729
22961,JAM MAKING SET PRINTED,28218.239999999998,18069,1277,1280
22624,IVORY KITCHEN SCALES,28010.170000000002,3232,1248,1250
21930,JUMBO STORAGE BAG SKULLS,27888.86,13640,1347,1364
23201,JUMBO BAG ALPHABET,27850.83,13366,906,911
72741,GRAND CHOCOLATECANDLE,27820.879999999997,20113,945,948
47566B,TEA TIME PARTY BUNTING,27758.06,6048,886,893
84991,60 TEATIME FAIRY CAKE CASES,27321.370000000003,54537,2164,2216
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,27039.82,9820,762,780
21481,FAWN BLUE HOT WATER BOTTLE,26925.18,8537,1106,1121
21485,RETROSPOT HEART HOT WATER BOTTLE,26914.690000000002,5447,985,1008
22149,FELTCRAFT 6 FLOWER FRIENDS,26783.86,12888,1418,1443
22507,MEMO BOARD RETROSPOT  DESIGN,26626.56,5694,915,917
22551,PLASTERS IN TIN SPACEBOY,26420.749999999996,15740,1340,1355
22386,JUMBO BAG PINK WITH WHITE SPOTS,26242.66,14202,802,811
20711,JUMBO BAG TOYS,26183.0,12836,1061,1064
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25859.050000000003,13087,632,634
22090,PAPER BUNTING RETROSPOT,25789.66,8506,932,937
22087,PAPER BUNTING WHITE LACE,25507.120000000003,8513,857,877
22084,PAPER CHAIN KIT EMPIRE,25453.83,8870,825,835
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.329999999998,2465,522,523
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25386.65,40703,1271,1285
20724,RED RETROSPOT CHARLOTTE BAG,25326.79,20909,1284,1298
21314,SMALL GLASS HEART TRINKET POT,25253.850000000002,11647,1086,1092
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,25197.98,109898,1036,1039
20972,PINK CREAM FELT CRAFT TRINKET BOX,25080.59,20704,1431,1446
85099B,JUMBO BAG RED WHITE SPOTTY,25043.62,14060,534,543
22090,PAPER BUNTING RETRO SPOTS,24933.940000000002,8292,783,795
23173,REGENCY TEAPOT ROSES,24879.13,2766,416,421
22728,ALARM CLOCK BAKELIKE PINK,24858.52,6361,1003,1015
71459,HANGING JAM JAR T-LIGHT HOLDER,24792.46,30644,931,933
48138,DOOR MAT UNION FLAG,24770.81,3775,673,674
84836,ZINC METAL HEART DECORATION,24563.170000000002,20057,1437,1465
47590A,BLUE HAPPY BIRTHDAY BUNTING,24553.9,4827,698,699
21231,SWEETHEART CERAMIC TRINKET BOX,24499.38,19672,1510,1538
23203,JUMBO BAG VINTAGE DOILY,24489.08,11448,711,718
22383,LUNCH BAG SUKI  DESIGN,24475.8,14692,1314,1335
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.960000000003,5972,835,848
21258,VICTORIAN SEWING BOX LARGE,24089.84,1687,560,561
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,24081.66,3181,675,675
21790,VINTAGE SNAP CARDS,24063.3,27904,1927,1952
21212,PACK OF 72 RETRO SPOT CAKE CASES,24054.43,46728,1410,1435
22698,PINK REGENCY TEACUP AND SAUCER,23993.57,8050,1025,1031
21791,VINTAGE HEADS AND TAILS CARD GAME,23926.98,18532,1351,1368
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,23867.140000000003,8246,1179,1201
22625,RED KITCHEN SCALES,23851.23,2719,985,985
84406B,CREAM CUPID HEARTS COAT HANGER,23830.47,7385,876,888
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285,716,722
22605,WOODEN CROQUET GARDEN SET,23731.02,1845,651,652
82600,NO SINGING METAL SIGN,23529.34,11662,1177,1184
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.420000000002,4800,470,471
22554,PLASTERS IN TIN WOODLAND ANIMALS,23276.559999999998,13822,1307,1326
22113,GREY HEART HOT WATER BOTTLE,23031.27,6020,1043,1075
22607,WOODEN ROUNDERS GARDEN SET,23030.05,2544,752,755
84970S,HANGING HEART ZINC T-LIGHT HOLDER,22871.239999999998,27143,1548,1557
22585,PACK OF 6 BIRDY GIFT TAGS,22847.670000000002,18288,1121,1168
20749,ASSORTED COLOUR MINI CASES,22703.16,3143,789,793
37449,CERAMIC CAKE STAND + HANGING CAKES,22672.61,2415,490,491
22556,PLASTERS IN TIN CIRCUS PARADE,22651.23,13771,1223,1245
22941,CHRISTMAS LIGHTS 10 REINDEER,22619.82,2707,519,520
22969,HOMEMADE JAM SCENTED CANDLES,22441.85,15075,753,753
21524,DOORMAT SPOTTY HOME SWEET HOME,22023.82,2891,764,765
22499,WOODEN UNION JACK BUNTING,21898.74,3595,780,784
22456,NATURAL SLATE CHALKBOARD LARGE,21859.23,4457,849,851
22502,PICNIC BASKET WICKER SMALL,21846.97,3800,946,953
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941,879,886
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21779.2,2749,540,545
48184,DOORMAT ENGLISH ROSE,21734.99,3289,538,538
21213,PACK OF 72 SKULL CAKE CASES,21661.75,40563,1502,1526
22570,FELTCRAFT CUSHION RABBIT,21542.29,5795,848,851
22139,RETRO SPOT TEA SET CERAMIC 11 PC,21301.04,4438,771,776
22424,ENAMEL BREAD BIN CREAM,21267.71,1557,752,753
22083,PAPER CHAIN KIT RETRO SPOT,21151.79,7579,591,595
22617,BAKING SET SPACEBOY DESIGN,21138.14,4384,957,963
21218,RED SPOTTY BISCUIT TIN,21079.56,5299,915,921
22568,FELTCRAFT CUSHION OWL,21022.75,5683,916,920
22294,HEART FILIGREE DOVE  SMALL,20962.02,16923,884,918
22569,FELTCRAFT CUSHION BUTTERFLY,20872.46,5717,826,835
23206,LUNCH BAG APPLE DESIGN,20852.579999999998,12147,1036,1053
85150,LADIES & GENTLEMEN METAL SIGN,20650.38,8512,1139,1144
20723,STRAWBERRY CHARLOTTE BAG,20640.22,18441,1400,1408
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,20499.08,17899,351,352
22900,SET 2 TEA TOWELS I LOVE LONDON,20459.510000000002,6349,764,785
48188,DOORMAT WELCOME PUPPIES,20345.51,3431,434,434
22273,FELTCRAFT DOLL MOLLY,20301.52,7398,825,836
22558,CLOTHES PEGS RETROSPOT PACK 24,20136.649999999998,14263,1235,1245
22083,PAPER CHAIN KIT RETROSPOT,20104.620000000003,6382,846,850
21622,VINTAGE UNION JACK CUSHION COVER,20080.49,3728,631,637
22413,METAL SIGN TAKE IT OR LEAVE IT,19937.79,7037,897,904
22169,FAMILY ALBUM WHITE PICTURE FRAME,19930.8,2323,714,714
21174,POTTERING IN THE SHED METAL SIGN,19838.71,9800,1158,1169
22384,LUNCH BAG PINK POLKADOT,19837.68,11956,1301,1318
22561,WOODEN SCHOOL COLOURING SET,19740.539999999997,11771,919,938
21936,RED RETROSPOT PICNIC BAG,19653.5,6698,945,949
22633,HAND WARMER UNION JACK,19521.13,9498,947,992
21908,CHOCOLATE THIS WAY METAL SIGN,19479.510000000002,9839,995,1004
84949,SILVER HANGING T-LIGHT HOLDER,19479.359999999997,12232,712,722
22427,ENAMEL FLOWER JUG CREAM,19463.56,3238,813,817
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,19398.11,1772,428,429
84946,ANTIQUE SILVER T-LIGHT GLASS,19381.62,14664,689,692
22041,"RECORD FRAME 7"" SINGLE SIZE",19371.46,7861,572,577
71053,WHITE METAL LANTERN,19273.31,4907,735,752
22061,LARGE CAKE STAND  HANGING STRAWBERY,19260.67,2185,525,526
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,19055.54,16065,696,714
21484,CHICK GREY HOT WATER BOTTLE,18949.600000000002,4764,905,917
22555,PLASTERS IN TIN STRONGMAN,18883.019999999997,11654,980,995
22383,LUNCH BAG SUKI DESIGN,18699.43,10301,1084,1102
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,18596.55,22637,679,687
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,18514.2,4741,830,833
22147,FELTCRAFT BUTTERFLY HEARTS,18358.85,13129,1171,1212
22505,MEMO BOARD COTTAGE DESIGN,18318.08,3818,762,769
22560,TRADITIONAL MODELLING CLAY,18270.55,15192,764,776
21914,BLUE HARMONICA IN BOX,18194.35,13308,993,1006
22847,BREAD BIN DINER STYLE IVORY,18147.54,1142,482,482
22654,DELUXE SEWING KIT,18135.920000000002,2682,622,627
22837,HOT WATER BOTTLE BABUSHKA,18124.170000000002,3872,504,518
79323W,WHITE CHERRY LIGHTS,18048.72,3004,349,350
22297,HEART IVORY TRELLIS SMALL,17926.6,13871,994,1015
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17876.45,17808,1171,1178
22557,PLASTERS IN TIN VINTAGE PAISLEY,17797.96,10598,1161,1191
21136,PAINTED METAL PEARS ASSORTED,17661.149999999998,10606,753,762
21889,WOODEN BOX OF DOMINOES,17612.57,13212,1160,1180
21527,RED RETROSPOT TRADITIONAL TEAPOT,17555.11,2406,589,595
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,816,83,83
84992,72 SWEETHEART FAIRY CAKE CASES,17440.21,35109,1486,1529
35004C,SET OF 3 COLOURED  FLYING DUCKS,17370.95,3307,390,390
22952,60 CAKE CASES VINTAGE CHRISTMAS,17292.64,28677,1090,1119
23203,JUMBO BAG DOILEY PATTERNS,17268.69,8893,514,517
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17239.69,8411,662,664
22652,TRAVEL SEWING KIT,17237.23,10146,858,872
48173C,DOORMAT BLACK FLOCK,17236.420000000002,2928,356,357
22632,HAND WARMER RED RETROSPOT,17233.27,8454,801,827
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,17158.43,6865,1062,1078
84997D,CHILDRENS CUTLERY POLKADOT PINK,16865.97,3951,423,428
21164,HOME SWEET HOME METAL SIGN,16812.300000000003,6040,734,736
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16569.55,1714,501,503
22487,WHITE WOOD GARDEN PLANT LADDER,16549.399999999998,1645,907,909
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,1073,1090
84375,SET OF 20 KIDS COOKIE CUTTERS,16463.22,7889,828,835
22662,LUNCH BAG DOLLY GIRL DESIGN,16368.31,10037,1011,1022
21843,RETRO SPOT CAKE STAND,16354.009999999998,1493,340,340
23301,GARDENERS KNEELING PAD KEEP CALM,16327.349999999999,8807,913,920
22296,HEART IVORY TRELLIS LARGE,16260.509999999998,9855,851,872
22634,CHILDS BREAKFAST SET SPACEBOY,16223.5,1717,514,516
85014B,RED RETROSPOT UMBRELLA,16179.090000000002,2779,535,535
22759,SET OF 3 NOTEBOOKS IN PARCEL,16176.039999999999,9523,820,838
22619,SET OF 6 SOLDIER SKITTLES,16152.32,4138,729,737
22635,CHILDS BREAKFAST SET DOLLY GIRL,16093.99,1689,503,505
21877,HOME SWEET HOME MUG,16083.97,14154,770,772
22692,DOORMAT WELCOME TO OUR HOME,16024.84,2139,609,609
22940,FELTCRAFT CHRISTMAS FAIRY,16009.289999999999,3653,624,637
48111,DOORMAT 3 SMILEY CATS,15951.72,2472,457,458
22690,DOORMAT HOME SWEET HOME BLUE,15922.33,2540,443,444
20685,DOOR MAT RED SPOT,15889.75,2485,412,412
22193,RED DINER WALL CLOCK,15837.480000000001,1871,629,629
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,15800.66,2406,583,583
23313,VINTAGE CHRISTMAS BUNTING,15798.66,2990,401,408
20750,RED RETROSPOT MINI CASES,15774.96,2150,531,533
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,15768.95,5137,1023,1032
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15767.15,4354,448,456
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15760.83,17684,1141,1173
21217,RED RETROSPOT ROUND CAKE TINS,15747.439999999999,1468,493,495
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,15738.53,4254,500,506
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15729.83,3855,709,722
21094,SET/6 RED SPOTTY PAPER PLATES,15723.119999999999,20160,1000,1006
21891,TRADITIONAL WOODEN SKIPPING ROPE,15713.0,12249,859,884
84378,SET OF 3 HEART COOKIE CUTTERS,15567.38,11761,1276,1292
22730,ALARM CLOCK BAKELIKE IVORY,15534.04,3868,779,782
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,15476.880000000001,3462,421,421
22946,WOODEN ADVENT CALENDAR CREAM,15451.32,990,284,285
82582,AREA PATROLLED METAL SIGN,15426.070000000002,7620,818,824
84050,PINK HEART SHAPE EGG FRYING PAN,15419.17,10514,737,744
21165,BEWARE OF THE CAT METAL SIGN,15351.35,9445,988,1006
21975,PACK OF 60 DINOSAUR CAKE CASES,15330.25,31481,1315,1341
35970,ZINC FOLKART SLEIGH BELLS,15177.83,8400,694,711
17003,BROCADE RING PURSE,14948.75,71394,469,475
21912,VINTAGE SNAKES & LADDERS,14934.74,3791,847,849
22606,WOODEN SKITTLES GARDEN SET,14913.84,1071,376,379
21770,OPEN CLOSED METAL SIGN,14807.300000000001,2991,651,652
22150,3 STRIPEY MICE FELTCRAFT,14800.449999999999,7948,967,986
22485,SET OF 2 WOODEN MARKET CRATES,14779.84,1109,422,423
21217,RED SPOTTY ROUND CAKE TINS,14646.039999999999,1484,463,463
21380,WOODEN HAPPY BIRTHDAY GARLAND,14643.480000000001,5047,658,663
22352,LUNCH BOX WITH CUTLERY RETROSPOT,14585.529999999999,5760,908,910
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,14479.91,11172,822,834
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,14464.380000000001,3973,478,483
21259,VICTORIAN SEWING BOX SMALL,14456.980000000001,2395,679,680
21955,DOORMAT UNION JACK GUNS AND ROSES,14451.85,2371,415,418
21257,VICTORIAN SEWING BOX MEDIUM,14434.18,1587,550,551
21169,YOU'RE CONFUSING ME METAL SIGN,14397.69,8924,794,806
22384,LUNCH BAG PINK RETROSPOT,14391.72,8914,810,825
22627,MINT KITCHEN SCALES,14356.68,1634,668,669
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,14329.03,10533,1137,1146
20748,KENSINGTON COFFEE SET,14317.980000000001,1604,187,187
22776,SWEETHEART CAKESTAND 3 TIER,14277.699999999999,1430,544,544
22444,GROW YOUR OWN PLANT IN A CAN,14229.9,10416,469,470
22109,FULL ENGLISH BREAKFAST PLATE,14197.68,3431,663,670
23200,JUMBO BAG PEARS,14188.960000000001,7067,595,598
21098,CHRISTMAS TOILET ROLL,14174.210000000001,9007,633,654
22271,FELTCRAFT DOLL ROSIE,14156.300000000001,4945,802,809
21888,BINGO SET,14152.84,3581,851,853
22236,CAKE STAND 3 TIER MAGIC GARDEN,14109.669999999998,1140,423,423
22295,HEART FILIGREE DOVE LARGE,14108.199999999999,8547,722,741
22366,DOORMAT AIRMAIL,14056.46,2106,438,438
35400,WOODEN BOX ADVENT CALENDAR,13999.1,1435,419,423
23343,JUMBO BAG VINTAGE CHRISTMAS,13972.710000000001,6078,476,486
21669,BLUE STRIPE CERAMIC DRAWER KNOB,13971.07,10669,816,830
21668,RED STRIPE CERAMIC DRAWER KNOB,13958.039999999999,10391,831,839
22191,IVORY DINER WALL CLOCK,13927.85,1687,512,515
21871,SAVE THE PLANET MUG,13900.51,11654,808,815
22621,TRADITIONAL KNITTING NANCY,13847.06,8764,885,902
21080,SET/20 RED RETROSPOT PAPER NAPKINS,13827.88,16113,1222,1243
79323P,PINK CHERRY LIGHTS,13787.93,2281,265,266
22636,CHILDS BREAKFAST SET CIRCUS PARADE,13761.73,1657,502,506
22207,FRYING PAN UNION FLAG,13715.91,3185,495,495
47556B,TEA TIME TEA TOWELS,13714.66,5205,453,456
48116,DOORMAT MULTICOLOUR STRIPE,13709.44,2357,262,262
22846,BREAD BIN DINER STYLE RED,13699.519999999999,852,355,355
23077,DOUGHNUT LIP GLOSS,13695.77,10395,344,344
C2,CARRIAGE,13676.0,273,272,272
21390,FILIGRIS HEART WITH BUTTERFLY,13590.47,10967,590,607
22356,CHARLOTTE BAG PINK POLKADOT,13543.19,11430,925,940
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,13497.51,10221,776,781
22553,PLASTERS IN TIN SKULLS,13405.509999999998,8009,1129,1148
21935,SUKI  SHOULDER BAG,13353.81,7209,947,948
21704,BAG 250g SWIRLY MARBLES,13343.349999999999,17299,581,587
23356,LOVE HOT WATER BOTTLE,13334.320000000002,2359,476,486
23207,LUNCH BAG ALPHABET DESIGN,13325.55,7830,740,756
23108,SET OF 10 LED DOLLY LIGHTS,13290.519999999999,2219,372,373
22580,ADVENT CALENDAR GINGHAM SACK,13277.720000000001,2338,506,507
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841,405,409
15044A,PINK PAPER PARASOL,13210.85,4964,250,250
48187,DOOR MAT NEW ENGLAND,13201.61,2023,464,464
75049L,LARGE CIRCULAR MIRROR MOBILE,13156.31,13969,345,353
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,13151.21,9253,908,920
21906,PHARMACIE FIRST AID TIN,13143.550000000001,1813,437,440
22655,VINTAGE RED KITCHEN CABINET,13140.0,77,54,54
22838,3 TIER CAKE TIN RED AND CREAM,13135.96,908,273,273
22464,HANGING METAL HEART LANTERN,13129.579999999998,7922,795,806
22947,WOODEN ADVENT CALENDAR RED,13111.85,1026,221,222
15056P,EDWARDIAN PARASOL PINK,13108.19,2576,388,389
22088,PAPER BUNTING COLOURED LACE,13103.44,4407,625,632
22766,PHOTO FRAME CORNICE,13094.44,4436,658,664
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",13079.94,2440,513,518
48129,DOORMAT TOPIARY,13071.59,2105,344,345
84988,SET OF 72 PINK HEART PAPER DOILIES,13059.199999999999,8393,1032,1036
22144,CHRISTMAS CRAFT LITTLE FRIENDS,12994.69,5368,753,767
22584,PACK OF 6 PANNETONE GIFT BOXES,12879.16,5038,582,588
21156,RETROSPOT CHILDRENS APRON,12809.13,6885,657,661
47591D,PINK FAIRY CAKE CHILDRENS APRON,12807.65,6365,846,855
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,12783.82,2601,387,389
22804,CANDLEHOLDER PINK HANGING HEART,12749.92,4497,615,627
22616,PACK OF 12 LONDON TISSUES,12747.23,40106,854,871
22365,DOORMAT RESPECTABLE HOUSE,12738.24,1976,332,332
22303,COFFEE MUG APPLES DESIGN,12701.63,5439,540,541
22623,BOX OF VINTAGE JIGSAW BLOCKS,12665.58,2353,557,559
22834,HAND WARMER BABUSHKA DESIGN,12664.95,7533,649,667
84997B,CHILDRENS CUTLERY RETROSPOT RED,12604.23,2907,317,323
22082,RIBBON REEL STRIPES DESIGN,12504.77,7427,987,1006
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,12491.17,2977,311,313
21535,RED RETROSPOT SMALL MILK JUG,12461.49,5059,815,828
