campaign_rank,customer_id,decision_date,churn_probability,predicted_churn,saved_model_threshold,policy_risk_floor,probability_alive,historical_revenue,expected_revenue_clv_12m,rfm_value_tier,clv_value_tier,rfm_segment,ml_cluster,cluster_name,recommended_action,action_basis,intervention_cost,assumed_recoverable_share,scenario_revenue_at_risk_proxy,scenario_expected_retention_benefit,scenario_expected_net_benefit,scenario_benefit_cost_ratio,breakeven_recoverable_share,priority_score,decision_status
38,17500,2011-12-10,0.609308224559317,1.0,0.31000000000000005,0.2,0.9458771634822981,1138.0,4004.731543551799,Medium Value,High,Loyal Customers,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2440.11586663824,21.961042799744156,11.961042799744156,2.1961042799744157,0.01366055349628001,98.61949956859361,selected
39,17133,2011-12-10,0.39881909669263244,1.0,0.31000000000000005,0.2,0.9883649767052208,14622.33,6464.887288346583,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2578.320508558066,61.87969220539358,11.879692205393582,1.2375938441078715,0.06464156264260394,98.59073914293933,selected
40,17107,2011-12-10,0.3524980745766913,1.0,0.31000000000000005,0.2,0.9834406138965136,16052.72,7288.348843929971,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2569.128934328569,61.65909442388565,11.659094423885648,1.233181888477713,0.06487283080256316,98.56197871728502,selected
41,12731,2011-12-10,0.2059930394949203,0.0,0.31000000000000005,0.2,0.9893122377733653,25775.71,12455.032348068853,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2565.649970386257,61.57559928927016,11.575599289270158,1.231511985785403,0.06496079690932084,98.53321829163072,selected
42,12798,2011-12-10,0.4447981395868318,1.0,0.31000000000000005,0.2,0.9739293501562886,8510.93,5730.060467096617,High Value,Strategic,Loyal Customers,2,Established Moderate-Value Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2548.7202354846277,61.169285651631064,11.169285651631064,1.2233857130326213,0.06539229545332023,98.50445786597642,selected
43,16532,2011-12-10,0.5172515762628528,1.0,0.31000000000000005,0.2,0.9779632132379802,8756.64,4506.652039333889,High Value,High,Champions,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2331.072871013654,20.979655839122884,10.979655839122884,2.0979655839122886,0.014299567271287629,98.47569744032212,selected
44,14016,2011-12-10,0.5145590795192243,1.0,0.31000000000000005,0.2,0.8948601258213404,11403.41,4521.17220433984,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2326.4102078130104,20.937691870317092,10.937691870317092,2.0937691870317092,0.01432822690572228,98.44693701466781,selected
45,15523,2011-12-10,0.34508127172210323,1.0,0.31000000000000005,0.2,0.9661050575995256,17259.19,7353.778548406921,High Value,Strategic,Loyal Customers,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2537.6512534469825,60.903630082727574,10.903630082727574,1.2180726016545516,0.06567753013353485,98.41817658901351,selected
46,12356,2011-12-10,0.5301561685290029,1.0,0.31000000000000005,0.2,0.9786110660880677,6371.7300000000005,4303.693053583944,High Value,High,Champions,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2281.6294198129485,20.534664778316536,10.534664778316536,2.0534664778316536,0.014609442288864793,98.38941616335923,selected
47,17509,2011-12-10,0.4799359089555425,1.0,0.31000000000000005,0.2,0.8542705631157661,6083.64,5252.600224869127,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2520.911463302651,60.50187511926363,10.50187511926363,1.2100375023852725,0.06611365337214832,98.36065573770492,selected
48,14733,2011-12-10,0.2357836223008161,0.0,0.31000000000000005,0.2,0.9886280397147964,16165.17,10661.329217714563,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2513.7668214942655,60.330403715862374,10.330403715862374,1.2066080743172476,0.06630156195935252,98.33189531205062,selected
49,13447,2011-12-10,0.4922266769892945,1.0,0.31000000000000005,0.2,0.9362695105829061,1129.14,3942.1357490677156,Medium Value,High,Loyal Customers,0,At-Risk Return-Heavy Customers,Service recovery,Return-heavy ML behavioral profile,25.0,0.06,1940.424380004305,34.92763884007749,9.927638840077492,1.3971055536030996,0.04294593192709136,98.30313488639632,selected
50,13521,2011-12-10,0.4562546722057039,1.0,0.31000000000000005,0.2,0.9673053440802445,1071.73,4843.278145679861,Medium Value,High,Loyal Customers,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2209.768282758215,19.887914544823932,9.887914544823932,1.9887914544823933,0.015084537864633906,98.27437446074202,selected
51,13505,2011-12-10,0.43886101703157937,1.0,0.31000000000000005,0.2,0.9348590853287985,4393.63,4404.106391286637,High Value,High,Loyal Customers,0,At-Risk Return-Heavy Customers,Service recovery,Return-heavy ML behavioral profile,25.0,0.06,1932.7906099953323,34.790230979915975,9.790230979915975,1.391609239196639,0.04311555162901717,98.24561403508771,selected
52,15786,2011-12-10,0.48992951575361465,1.0,0.31000000000000005,0.2,0.9678443252284105,8501.62,4445.14417744659,High Value,High,Champions,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2177.807334311408,19.60026600880267,9.60026600880267,1.960026600880267,0.015305914718977133,98.21685360943341,selected
53,15497,2011-12-10,0.5040349724303608,1.0,0.31000000000000005,0.2,0.9864796405020471,8657.39,4030.144773526054,High Value,High,Champions,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2031.3339098145673,18.2820051883311,8.282005188331102,1.82820051883311,0.01640957853963862,98.18809318377913,selected
54,14364,2011-12-10,0.6734024538430086,1.0,0.31000000000000005,0.2,0.7000905383335273,3717.35,2980.0048041249215,High Value,High,Loyal Customers,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,2006.7425475616762,18.060682928055083,8.060682928055083,1.8060682928055083,0.01661066755864399,98.15933275812482,selected
55,15676,2011-12-10,0.6432842030765442,1.0,0.31000000000000005,0.2,0.9638470140528429,3435.76,3090.269625538156,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1987.9216333559634,17.89129470020367,7.8912947002036695,1.789129470020367,0.016767931277582995,98.13057233247052,selected
56,13162,2011-12-10,0.5300534004568982,1.0,0.31000000000000005,0.2,0.9196508184453593,9275.49,3694.708481505167,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1958.3927943187566,17.62553514886881,7.62553514886881,1.762553514886881,0.017020759793455336,98.10181190681621,selected
57,16253,2011-12-10,0.5942253952015519,1.0,0.31000000000000005,0.2,0.9748249482598117,7272.2,3290.933130328334,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1955.5560399512347,17.600004359561108,7.600004359561108,1.7600004359561108,0.017045450323256685,98.07305148116193,selected
58,12758,2011-12-10,0.5627689179764218,1.0,0.31000000000000005,0.2,0.9605151607312009,9903.24,3469.8639195848477,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1952.7315635501907,17.574584071951715,7.5745840719517155,1.7574584071951715,0.017070105259491583,98.04429105550763,selected
59,15260,2011-12-10,0.4926393617302545,1.0,0.31000000000000005,0.2,0.9319062538087597,9188.23,3884.555937650478,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1913.6851577296018,17.223166419566414,7.2231664195664145,1.7223166419566414,0.01741839988605024,98.01553062985332,selected
60,12597,2011-12-10,0.47777660104221203,1.0,0.31000000000000005,0.2,0.9700976695698944,3811.22,3978.5125867471247,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1900.8402208997,17.1075619880973,7.107561988097299,1.71075619880973,0.017536104806092592,97.98677020419902,selected
61,17788,2011-12-10,0.709494030660256,1.0,0.31000000000000005,0.2,0.9044930379269175,1117.9,2651.6946561052605,Medium Value,High,Need Attention,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1881.3615296403825,16.93225376676344,6.932253766763441,1.693225376676344,0.01771766500386819,97.95800977854472,selected
62,15939,2011-12-10,0.43089032182711146,1.0,0.31000000000000005,0.2,0.8341852529820712,9060.39,4347.910997460154,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1873.472768971243,16.86125492074119,6.861254920741189,1.6861254920741189,0.01779226999474204,97.92924935289042,selected
63,13365,2011-12-10,0.6841270428909355,1.0,0.31000000000000005,0.2,0.9449910167689253,2225.37,2586.956761744399,High Value,High,Potential Loyalists,0,At-Risk Return-Heavy Customers,Service recovery,Return-heavy ML behavioral profile,25.0,0.06,1769.8070794989062,31.85652743098031,6.856527430980311,1.2742610972392123,0.047086111417820695,97.90048892723611,selected
64,17340,2011-12-10,0.2182026455636643,0.0,0.31000000000000005,0.2,0.9876551739481768,22289.22,10828.334871366555,High Value,Strategic,Champions,1,High-Value Loyal Customers,High-touch value protection,Top 5% predictive revenue CLV,50.0,0.08,2362.771315981463,56.706511583555105,6.7065115835551055,1.1341302316711022,0.07053863636288288,97.87172850158183,selected
65,16303,2011-12-10,0.4590106057227334,1.0,0.31000000000000005,0.2,0.9818443096650077,7928.27,4011.0846202193097,High Value,High,Champions,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1841.1303811320054,16.570173430188046,6.570173430188046,1.6570173430188047,0.018104819558101358,97.84296807592753,selected
66,16550,2011-12-10,0.480749397258005,1.0,0.31000000000000005,0.2,0.9302771845225041,9368.24,3822.9998401308108,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1837.9048688603366,16.541143819743027,6.541143819743027,1.6541143819743027,0.018136593410301452,97.81420765027322,selected
67,12378,2011-12-10,0.6166415003838457,1.0,0.31000000000000005,0.2,0.935285237030078,5416.32,2933.6111842737964,High Value,High,Need Attention,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1808.9864022134243,16.28087761992082,6.280877619920819,1.628087761992082,0.018426525093028678,97.78544722461892,selected
68,14145,2011-12-10,0.5131142036031865,1.0,0.31000000000000005,0.2,0.9773044084474283,7600.049999999999,3508.357028206202,High Value,High,Champions,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1800.1878224836673,16.201690402353005,6.201690402353005,1.6201690402353006,0.018516586390049175,97.75668679896462,selected
69,12359,2011-12-10,0.47400093021874606,1.0,0.31000000000000005,0.2,0.9794597842039977,8873.39,3790.955712562132,High Value,High,Champions,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1796.9165341725197,16.172248807552677,6.172248807552677,1.6172248807552676,0.01855029585371551,97.72792637331032,selected
70,13631,2011-12-10,0.5827942101340151,1.0,0.31000000000000005,0.2,0.8622996671660274,3070.42,3052.235377416518,High Value,High,Loyal Customers,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1778.8251059245572,16.009425953321013,6.0094259533210135,1.6009425953321013,0.018738960464586032,97.69916594765603,selected
71,12637,2011-12-10,0.38742224115367146,1.0,0.31000000000000005,0.2,0.9683873246532018,8283.81,4576.401623288883,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1772.999773313879,15.956997959824909,5.956997959824909,1.5956997959824908,0.018800528818472807,97.67040552200173,selected
72,12438,2011-12-10,0.4909538026710317,1.0,0.31000000000000005,0.2,0.9494403080015206,2906.85,4638.764401734947,High Value,High,Potential Loyalists,2,Established Moderate-Value Customers,Automated nurture,Early-lifecycle or dormant one-time profile,1.0,0.01,2277.4190227267854,6.832257068180357,5.832257068180357,6.832257068180357,0.0014636451615049246,97.64164509634743,selected
73,17672,2011-12-10,0.6004293614867434,1.0,0.31000000000000005,0.2,0.9756893000941217,5778.63,2925.3960811978923,High Value,High,Champions,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1756.493701129472,15.808443310165247,5.808443310165247,1.5808443310165248,0.01897720060817703,97.61288467069312,selected
74,14286,2011-12-10,0.5286259865888449,1.0,0.31000000000000005,0.2,0.9805505657895189,8479.76,3321.2994437324564,High Value,High,Champions,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1755.7251952000513,15.801526756800461,5.801526756800461,1.5801526756800461,0.018985507199226162,97.58412424503882,selected
75,16688,2011-12-10,0.4794734042100856,1.0,0.31000000000000005,0.2,0.9750699294822742,1260.86,3656.740719598955,High Value,High,Loyal Customers,2,Established Moderate-Value Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1753.3099211397491,15.779789290257742,5.779789290257742,1.5779789290257742,0.019011660706091716,97.55536381938452,selected
76,15372,2011-12-10,0.608416191747244,1.0,0.31000000000000005,0.2,0.9478503666856606,6017.06,2875.4276967657424,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1749.4567689107623,15.745110920196861,5.745110920196861,1.574511092019686,0.019053533602940733,97.52660339373023,selected
77,15977,2011-12-10,0.6579530259897886,1.0,0.31000000000000005,0.2,0.9393870808529998,1054.73,3410.627723833335,Medium Value,High,Potential Loyalists,2,Established Moderate-Value Customers,Automated nurture,Early-lifecycle or dormant one-time profile,1.0,0.01,2244.0328314208077,6.732098494262423,5.732098494262423,6.732098494262423,0.0014854209290792043,97.49784296807593,selected
78,12578,2011-12-10,0.6027119297837839,1.0,0.31000000000000005,0.2,0.971851122414981,4642.45,2886.3865542581634,High Value,High,Loyal Customers,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1739.659610218904,15.656936491970134,5.656936491970134,1.5656936491970135,0.01916083648636238,97.46908254242163,selected
79,12406,2011-12-10,0.6053558455471572,1.0,0.31000000000000005,0.2,0.9775419034524626,6390.360000000001,2844.680024113147,High Value,High,Champions,1,High-Value Loyal Customers,Personalized offer,Default scalable retention treatment,10.0,0.03,1722.0436813081214,15.498393131773092,5.498393131773092,1.5498393131773092,0.019356845412894653,97.44032211676733,selected
